Category,Point
Strength,Strong clinical adoption of established therapies
Strength,Robust pipeline across key companies
Strength,Growing awareness and early diagnosis
Weakness,Late diagnosis and low awareness in many regions
Weakness,High treatment cost
Weakness,Limited access and dependence on chronic therapy adherence
Opportunity,Rising CKD prevalence and aging population
Opportunity,High growth potential in emerging markets
Opportunity,Expansion of SGLT2 inhibitors and novel therapies
Threat,Patent expiries and biosimilar drugs
Threat,Pricing pressure and reimbursement challenges
Threat,Regulatory changes and market access hurdles
